ADM2_PCODE,ADM2_NAME,ADM1_PCODE,ADM1_NAME,COUNTRY,ISO3,ADMIN2_POPULATION,ADMIN2_AREA_SQ_KM,ADMIN2_GDP,ADMIN1_POPULATION,ADMIN1_AREA_SQ_KM,ADMIN1_GDP,ADMIN0_POPULATION,ADMIN0_AREA_SQ_KM,ADMIN0_GDP,,,,,,,,,,,,,,
TZ0101,Kondoa,TZ01,Dodoma,United Republic of Tanzania,TZA,"397,104",,,"3,035,794",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0102,Mpwapwa,TZ01,Dodoma,United Republic of Tanzania,TZA,"446,238",,,"3,035,794",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0103,Kongwa,TZ01,Dodoma,United Republic of Tanzania,TZA,"455,943",,,"3,035,794",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0104,Chamwino,TZ01,Dodoma,United Republic of Tanzania,TZA,"483,116",,,"3,035,794",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0105,Dodoma Urban,TZ01,Dodoma,United Republic of Tanzania,TZA,"582,485",,,"3,035,794",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0106,Bahi,TZ01,Dodoma,United Republic of Tanzania,TZA,"326,612",,,"3,035,794",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0107,Chemba,TZ01,Dodoma,United Republic of Tanzania,TZA,"344,295",,,"3,035,794",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0201,Monduli,TZ02,Arusha,United Republic of Tanzania,TZA,"302,652",,,"2,559,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0202,Meru,TZ02,Arusha,United Republic of Tanzania,TZA,"362,147",,,"2,559,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0203,Arusha Urban,TZ02,Arusha,United Republic of Tanzania,TZA,"634,844",,,"2,559,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0204,Karatu,TZ02,Arusha,United Republic of Tanzania,TZA,"357,918",,,"2,559,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0205,Ngorongoro,TZ02,Arusha,United Republic of Tanzania,TZA,"281,211",,,"2,559,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0206,Arusha,TZ02,Arusha,United Republic of Tanzania,TZA,"408,184",,,"2,559,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0207,Longido,TZ02,Arusha,United Republic of Tanzania,TZA,"212,721",,,"2,559,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0301,Rombo,TZ03,Kilimanjaro,United Republic of Tanzania,TZA,"314,418",,,"2,312,404",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0302,Mwanga,TZ03,Kilimanjaro,United Republic of Tanzania,TZA,"174,719",,,"2,312,404",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0303,Same,TZ03,Kilimanjaro,United Republic of Tanzania,TZA,"409,883",,,"2,312,404",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0304,Moshi,TZ03,Kilimanjaro,United Republic of Tanzania,TZA,"640,617",,,"2,312,404",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0305,Hai,TZ03,Kilimanjaro,United Republic of Tanzania,TZA,"318,257",,,"2,312,404",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0306,Moshi Urban,TZ03,Kilimanjaro,United Republic of Tanzania,TZA,"282,327",,,"2,312,404",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0307,Siha,TZ03,Kilimanjaro,United Republic of Tanzania,TZA,"172,182",,,"2,312,404",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0401,Lushoto,TZ04,Tanga,United Republic of Tanzania,TZA,"678,939",,,"3,091,324",0,0,71284371.86,0,0,,,,,,,,,,,,,,
