,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADM1_NAME,,ISO3,ADM1_PCODE,,Malaria prevalence,Historic Drought Frequency,Landslide exposure - high,Landslide exposure - medium or high,Cyclone exposure,Burned Area,Fire Weather Index,Density of health facilities,Number of Events,Number of Fatalities,Internal Displaced People,Conflict Barometer,Volcano exposure,Food Security - Insufficient food,Soil Erosion,Storm exposure,Food Security - IPC Classification,Human Development Index,Gender Development Index,Mean years at school,Life Expectancy,Gross National Income per capita,Subnational Corruption Index,Wealth Inequality,Dependency Ratio,Urban Population,Neonatal mortality,Infant mortality,Child mortality,Children Underweight,BCG Immunization Coverage,DTP3 Immunization Coverage,Measles Immunization Coverage,International Wealth Index,Access to electricity,Internet access,Cellphone ownership,Multidimensional Poverty Index,Coastal Erosion,,,,,,,,,,,,,,
Indicator ID,,,,,,VU.VG.HC-MALAPREV,HA.NAT.DR-FRE,,,HA.NAT.ST-TC,HA.NAT.WF-BURN,HA.NAT.WF-FWI,CC.INF.HC-FAC,HA.HUM.VIO-EVE,HA.HUM.VIO-FAT,VU.VG.DP-IDP,HA.HUM.CI-CBAR,HA.NAT.VC-EXP,VU.SE.LV-FS,HA.NAT.DE-ERO,HA.NAT.ST-ST,VU.SE.LV-IPC,VU.SE.POV-HDI,VU.SE.POV-GDI,CC.INF.EDU-YRS,VU.VG.HC-LEXP,CC.INF.ECO-GDP,CC.INS.GOV-SCI,VU.SE.POV-GINI,VU.SE.DEP-DR,VU.SE.HAB-URB,VU.VG.CH-MORTNEO,VU.VG.CH-MORTINF,VU.VG.CH-MORTCH,VU.VG.CH-UW,CC.INF.HC-BCG,CC.INF.HC-DTP,CC.INF.HC-MEASLES,CC.INF.ECO-IWI,CC.INF.COM-ELEC,CC.INF.COM-INT,CC.INF.COM-PHONE,VU.SE.POV-MPI,HA.NAT.CH-ERO,,,,,,,,,,,,,,
Duplicated indicator check,,,,,,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Duplicate,,,,,,,,,,,,,,
Component,,,,,,Health Conditions,Drought,,,Storms & Cyclone,Wildfire,Wildfire,Access to health care,Internal Violence,Internal Violence,Displaced People,Conflict Intensity,Volcano,Livelihoods,Environmental Degradation,Storms & Cyclone,Livelihoods,Development & Poverty,Development & Poverty,Education,Health Conditions,Economic capacity,Governance,Development & Poverty,Economic Dependency,Habitat,Children Health and Nutrition,Children Health and Nutrition,Children Health and Nutrition,Children Health and Nutrition,Access to health care,Access to health care,Access to health care,Economic capacity,Communication,Communication,Communication,Development & Poverty,Coastal hazards,,,,,,,,,,,,,,
Category,,,,,,Vulnerable Groups,Natural,,,Natural,Natural,Natural,Infrastructure,Human,Human,Vulnerable Groups,Human,Natural,Socio-Economics,Natural,Natural,Socio-Economics,Socio-Economics,Socio-Economics,Infrastructure,Vulnerable Groups,Infrastructure,Institutional,Socio-Economics,Socio-Economics,Socio-Economics,Vulnerable Groups,Vulnerable Groups,Vulnerable Groups,Vulnerable Groups,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Socio-Economics,Natural,,,,,,,,,,,,,,
Dimension,,,,,,Vulnerability,Hazards & Exposure,,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Coping Capacity,Hazards & Exposure,Hazards & Exposure,Vulnerability,Hazards & Exposure,Hazards & Exposure,Vulnerability,Hazards & Exposure,Hazards & Exposure,Vulnerability,Vulnerability,Vulnerability,Coping Capacity,Vulnerability,Coping Capacity,Coping Capacity,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Vulnerability,Hazards & Exposure,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,Subnational,,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2022,1984-2023,,,2023,2019-2023,2022,2019,2020-2024,2020-2024,2023,2022,unknown,2022-2024,Unknown (prep2017),2023,2022-2024,2022,2022,2022,2022,2022,2022,2011 - 2022,2011 - 2022,2013 - 2022,2006 - 2021,2011 - 2022,2006 - 2021,2000 - 2022,2006 - 2021,2006 - 2021,2006 - 2021,2013 - 2022,2013 - 2022,2011 - 2022,2011 - 2022,2012-2021,2000 - 2022,,,,,,,,,,,,,,
Unit of Measurament,,,,,,max malaria prevalence per person,years,% Pop exposed to high landslide risk,% Pop exposed to med or high landslide risk,%,%,index,per capita,Number,Number,number of people,Index,index,% pop phase 2 or higher,Mg/ha/yr,%,0,index,index,years,years,Log - Thousands of US$,index,index,ratio,%,"per 1,000 live births ","per 1,000 live births ","per 1,000 live births ",%,%,%,%,index,%,%,%,index,meters / year,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,,TZA,TZ01,,0.20,11,0.28,3.15,0,4,104,349,3,0,0,0,0,149,4.8,0.0,,0.47,0.94,4.58,63.94,7.29,75.2,0.41,111.30,17.27,38.13,60.81,39.75,15.80,100.00,98.60,98.40,19.11,4.88,No data,61.66,0.332,,,,,,,,,,,,,,,
United Republic of Tanzania,Arusha,,TZA,TZ02,,0.17,17,0.50,5.49,No data,3,89,269,13,3,0,0,4,62,9.6,0.0,,0.54,0.96,5.53,72.08,7.64,72.7,0.39,98.30,21.72,26.82,37.06,8.36,18.70,96.10,97.20,85.70,29.32,21.14,No data,80.12,0.201,,,,,,,,,,,,,,,
