,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADM1_NAME,ADM2_NAME,ISO3,ADM1_PCODE,ADM2_PCODE,Earthquake exposure,Coastal Erosion,Coastal Erosion,Deforestation - Treecover Loss,Flood exposure,Landslide exposure,Cyclone exposure - max speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator ID,,,,,,HA.NAT.EQ-EXP,,HA.NAT.CH-ERO,HA.NAT.ED-DEF,HA.NAT.FL-EXP,HA.NAT.LS-EXP,HA.NAT.ST-TC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicated indicator check,,,,,,OK,,Duplicate,OK,OK,OK,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Earthquake,,Coastal hazards,Environmental Degradation,Flood,Landslide,Storms & Cyclone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,,,,,,Natural,,Natural,Natural,Natural,Natural,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimension,,,,,,Hazards & Exposure,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2023,,2000 - 2022,2000-2022,"n/a

modelled future risk",1980-2018,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measurament,,,,,,index,,meters / year,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Kondoa,TZA,TZ01,TZ0101,1.000000033,No data,0.00,0.04458042,0.008,0.024294104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Mpwapwa,TZA,TZ01,TZ0102,0.866847705,No data,0.00,0.046394019,0.011,0.133454945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Kongwa,TZA,TZ01,TZ0103,0.796014711,No data,0.00,0.037758831,0.002,0.027173754,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Chamwino,TZA,TZ01,TZ0104,0.985682425,No data,0.00,0.086180124,0.015,0.01605416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Dodoma Urban,TZA,TZ01,TZ0105,1.000000018,No data,0.00,0.028207461,0.005,0.001364236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Bahi,TZA,TZ01,TZ0106,0.999999955,No data,0.00,0.025346401,0.069,0.000540417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Chemba,TZA,TZ01,TZ0107,0.999999932,No data,0.00,0.100898266,0.026,0.014666495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Arusha,Monduli,TZA,TZ02,TZ0201,0.999999933,No data,0.00,0.001581028,0.006,0.025007261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
